COMPANY NAME,RATING,REVIEWS,PACKAGE,INDUSTRY,BENEFITS,CONS,INDIA HQ,BRANCHES,TOTAL EMPLOYEES,COMPANY TYPE,YEAR OLD
Pps Motors,3.8,260,958,Automobile,"Promotions / Appraisal, Job Security, Salary & Benefits",,Hyderabad / Secunderabad,50 other locations,201-500  ,,12 years old
Sgs Tekniks Manufacturing,3.9,259,999,Electronics Manufacturing,"Job Security, Promotions / Appraisal, Company Culture",,Gurgaon / Gurugram,12 other locations,51-200  ,Public,119 years old
Yodlee,3.8,259,1.7k,Software Product,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,Bangalore / Bengaluru,5 other locations,1k-5k  ,,21 years old
HDFC Credila Financial Services,3.6,259,1.4k,Financial Services,Job Security,Promotions / Appraisal,Mumbai,31 other locations,201-500  ,Public,8 years old
ANI INTEGRATED SERVICES,3.6,260,986,Engineering & Construction,"Promotions / Appraisal, Skill Development / Learning, Job Security",,Mumbai,57 other locations,501-1k  ,,28 years old
Vcs Quality Services,4,259,946,Oil & Gas,"Skill Development / Learning, Job Security, Promotions / Appraisal",,New Delhi,53 other locations,201-500  ,,12 years old
Eastern Condiments,4,259,754,FMCG,"Job Security, Work Life Balance, Promotions / Appraisal",,Kochi,52 other locations,501-1k  ,Public,31 years old
Hindustan Latex Family Planning Promotion Trust,3.5,259,623,Healthcare,"Skill Development / Learning, Company Culture, Job Security",,Noida,61 other locations,201-500  ,,9 years old
Siegwerk,4.1,259,987,Chemicals,"Promotions / Appraisal, Work Satisfaction, Company Culture",,Bhiwadi,25 other locations,51-200  ,Startup,12 years old
Star Wire India,4,259,1.1k,Industrial Machinery,"Salary & Benefits, Promotions / Appraisal, Company Culture",,Faridabad,6 other locations,501-1k  ,,18 years old
Trigyn Technologies,3.6,258,1.7k,IT Services & Consulting,"Work Satisfaction, Company Culture, Promotions / Appraisal",,Mumbai,13 other locations,1k-5k  ,,7 years old
Bhilai Engineering Corporation,3.6,258,1k,Industrial Machinery,"Promotions / Appraisal, Skill Development / Learning, Company Culture",,Bhilai Nagar,22 other locations,201-500  ,Startup,8 years old
Velnik India,3.2,258,976,Beauty & Personal Care,"Job Security, Promotions / Appraisal, Skill Development / Learning",,Indore,50 other locations,1k-5k  ,,11 years old
